"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify Forgotten Password link is visible","1384","Forgot password link","tests","Wed Jan 21 15:23:09 UTC 2026","passed","Wed Jan 21 15:23:10 UTC 2026","TestLogin","test_login","",""
"All displayed products must have valid names","1059","Verify product names are valid","tests","Wed Jan 21 15:23:29 UTC 2026","passed","Wed Jan 21 15:23:30 UTC 2026","TestProducts","test_products","",""
"Search should return results","1056","Verify search results count","tests","Wed Jan 21 15:23:32 UTC 2026","passed","Wed Jan 21 15:23:33 UTC 2026","TestProducts","test_products","",""
"Verify that search input field is displayed","20","Verify search box visibility","tests","Wed Jan 21 15:22:39 UTC 2026","passed","Wed Jan 21 15:22:39 UTC 2026","TestHome","test_home","",""
"The homepage should have a main carousel with at least one slide","37","Verify homepage main carousel exists","tests","Wed Jan 21 15:22:51 UTC 2026","passed","Wed Jan 21 15:22:51 UTC 2026","TestHome","test_home","",""
"Verify My Account dropdown contains options","573","Verify My Account dropdown options","tests","Wed Jan 21 15:22:46 UTC 2026","passed","Wed Jan 21 15:22:47 UTC 2026","TestHome","test_home","",""
"Verify that register account page opens","1366","Open register page","tests","Wed Jan 21 15:23:39 UTC 2026","passed","Wed Jan 21 15:23:40 UTC 2026","TestRegister","test_register","",""
"Verify My Account menu opens and shows Login option","562","Verify My Account menu","tests","Wed Jan 21 15:22:41 UTC 2026","passed","Wed Jan 21 15:22:42 UTC 2026","TestHome","test_home","",""
"Verify validation errors for empty register credentials","5999","Submit empty register credentials","tests","Wed Jan 21 15:23:42 UTC 2026","failed","Wed Jan 21 15:23:48 UTC 2026","TestRegister","test_register","",""
"Verify that home page title contains 'Your Store'","5","Verify home page title","tests","Wed Jan 21 15:22:35 UTC 2026","passed","Wed Jan 21 15:22:35 UTC 2026","TestHome","test_home","",""
"Verify message displayed when cart is empty","556","Verify empty cart message","tests","Wed Jan 21 15:22:17 UTC 2026","passed","Wed Jan 21 15:22:17 UTC 2026","TestCart","test_cart","",""
"Verify privacy policy must be accepted","2725","Privacy policy required","tests","Wed Jan 21 15:23:51 UTC 2026","passed","Wed Jan 21 15:23:53 UTC 2026","TestRegister","test_register","",""
"Verify that login page opens successfully","1363","Open login page","tests","Wed Jan 21 15:22:53 UTC 2026","passed","Wed Jan 21 15:22:55 UTC 2026","TestLogin","test_login","",""
"Verify message when searching invalid product","1050","Invalid product search","tests","Wed Jan 21 15:23:26 UTC 2026","passed","Wed Jan 21 15:23:27 UTC 2026","TestProducts","test_products","",""
"Verify product can be added to cart","1611","Add product to cart","tests","Wed Jan 21 15:22:31 UTC 2026","passed","Wed Jan 21 15:22:33 UTC 2026","TestCart","test_cart","",""
"Verify home page displays featured products","21","Verify featured products exist","tests","Wed Jan 21 15:22:49 UTC 2026","passed","Wed Jan 21 15:22:49 UTC 2026","TestHome","test_home","",""
"Verify product details page opens","1596","Select product","tests","Wed Jan 21 15:23:22 UTC 2026","passed","Wed Jan 21 15:23:24 UTC 2026","TestProducts","test_products","",""
"Verify footer section exists on home page","27","Verify footer exists","tests","Wed Jan 21 15:22:44 UTC 2026","passed","Wed Jan 21 15:22:44 UTC 2026","TestHome","test_home","",""
"Verify confirm password field is present","1396","Confirm password field visibility","tests","Wed Jan 21 15:23:55 UTC 2026","passed","Wed Jan 21 15:23:57 UTC 2026","TestRegister","test_register","",""
"All products returned by search must have non-empty names","1062","Verify all product names are valid","tests","Wed Jan 21 15:23:36 UTC 2026","failed","Wed Jan 21 15:23:37 UTC 2026","TestProducts","test_products","",""
"Verify product in page title","1047","Search product","tests","Wed Jan 21 15:23:16 UTC 2026","passed","Wed Jan 21 15:23:17 UTC 2026","TestProducts","test_products","",""
"Verify product is displayed for valid search","1057","product result in product page","tests","Wed Jan 21 15:23:19 UTC 2026","passed","Wed Jan 21 15:23:20 UTC 2026","TestProducts","test_products","",""
"Verify cart page title is correct","560","Verify cart page title","tests","Wed Jan 21 15:22:22 UTC 2026","failed","Wed Jan 21 15:22:23 UTC 2026","TestCart","test_cart","",""
"Verify Continue button is displayed","1404","Continue button visibility","tests","Wed Jan 21 15:23:59 UTC 2026","passed","Wed Jan 21 15:24:00 UTC 2026","TestRegister","test_register","",""
"Verify product can be removed from cart","3864","Remove product from cart","tests","Wed Jan 21 15:22:25 UTC 2026","passed","Wed Jan 21 15:22:29 UTC 2026","TestCart","test_cart","",""
"Verify error message for invalid login credentials","3636","Invalid login attempt","tests","Wed Jan 21 15:22:57 UTC 2026","passed","Wed Jan 21 15:23:00 UTC 2026","TestLogin","test_login","",""
"Verify cart item button is visible","559","Verify cart item button","tests","Wed Jan 21 15:22:19 UTC 2026","passed","Wed Jan 21 15:22:20 UTC 2026","TestCart","test_cart","",""
"Verify that the site logo is visible on home page","21","Verify logo visibility","tests","Wed Jan 21 15:22:37 UTC 2026","passed","Wed Jan 21 15:22:37 UTC 2026","TestHome","test_home","",""
"Verify error message when submitting empty login form","3710","Empty login submission","tests","Wed Jan 21 15:23:03 UTC 2026","passed","Wed Jan 21 15:23:07 UTC 2026","TestLogin","test_login","",""
"verify login button is visible","1378","Login button visibility","tests","Wed Jan 21 15:23:12 UTC 2026","passed","Wed Jan 21 15:23:14 UTC 2026","TestLogin","test_login","",""
